zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
44111,41.45828,-81.78855,Cleveland,OH,Ohio,TRUE,,42821,2460.5,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44112,41.53569,-81.57363,Cleveland,OH,Ohio,TRUE,,21909,2203.6,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44113,41.48422,-81.6976,Cleveland,OH,Ohio,TRUE,,20358,1937.2,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44114,41.51448,-81.67562,Cleveland,OH,Ohio,TRUE,,6567,696.9,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44115,41.49215,-81.67114,Cleveland,OH,Ohio,TRUE,,8284,1449.2,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44116,41.47017,-81.85251,Rocky River,OH,Ohio,TRUE,,20338,1632.2,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44117,41.57149,-81.5268,Euclid,OH,Ohio,TRUE,,9611,1034.7,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44118,41.50186,-81.55625,Cleveland,OH,Ohio,TRUE,,38833,2195,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44119,41.58736,-81.54704,Cleveland,OH,Ohio,TRUE,,13108,2287.5,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44120,41.47357,-81.57931,Cleveland,OH,Ohio,TRUE,,34276,2775.1,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44121,41.52647,-81.53213,Cleveland,OH,Ohio,TRUE,,33211,2044.7,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44122,41.47013,-81.51178,Beachwood,OH,Ohio,TRUE,,33342,997.3,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44123,41.60379,-81.52419,Euclid,OH,Ohio,TRUE,,16515,2643.2,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44124,41.50053,-81.46677,Cleveland,OH,Ohio,TRUE,,37737,1015.4,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44125,41.40695,-81.61511,Cleveland,OH,Ohio,TRUE,,27939,780.1,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44126,41.44175,-81.85303,Cleveland,OH,Ohio,TRUE,,16372,1400.2,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44127,41.47157,-81.64914,Cleveland,OH,Ohio,TRUE,,4375,1137.6,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44128,41.43761,-81.54027,Cleveland,OH,Ohio,TRUE,,28790,1344.6,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44129,41.38971,-81.73513,Cleveland,OH,Ohio,TRUE,,28276,1909.1,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44130,41.3778,-81.78683,Cleveland,OH,Ohio,TRUE,,49787,1141,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44131,41.38285,-81.65242,Independence,OH,Ohio,TRUE,,20532,491.5,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44132,41.60506,-81.4994,Euclid,OH,Ohio,TRUE,,14805,1727.7,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44133,41.31414,-81.74522,North Royalton,OH,Ohio,TRUE,,30225,553.8,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44134,41.38533,-81.70451,Cleveland,OH,Ohio,TRUE,,37533,1560.9,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44135,41.4257,-81.81965,Cleveland,OH,Ohio,TRUE,,27640,1028.2,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44136,41.31184,-81.81098,Strongsville,OH,Ohio,TRUE,,25776,726.6,39035,Cuyahoga,"{'39035':99.86,'39103':0.14}",Cuyahoga|Medina,39035|39103,FALSE,FALSE,America/New_York
44137,41.40928,-81.56252,Maple Heights,OH,Ohio,TRUE,,22657,1733.8,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44138,41.37364,-81.9231,Olmsted Falls,OH,Ohio,TRUE,,22378,624.3,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44139,41.38326,-81.4444,Solon,OH,Ohio,TRUE,,24212,409.9,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44140,41.48509,-81.93143,Bay Village,OH,Ohio,TRUE,,15391,1323.5,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44141,41.30084,-81.61425,Brecksville,OH,Ohio,TRUE,,13830,227.3,39035,Cuyahoga,"{'39035':97.93,'39153':2.07}",Cuyahoga|Summit,39035|39153,FALSE,FALSE,America/New_York
44142,41.40226,-81.8252,Brookpark,OH,Ohio,TRUE,,18674,969.8,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44143,41.5535,-81.47509,Cleveland,OH,Ohio,TRUE,,24241,672.5,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44144,41.43764,-81.74274,Cleveland,OH,Ohio,TRUE,,21697,1456.7,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44145,41.45244,-81.92945,Westlake,OH,Ohio,TRUE,,32378,793.5,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44146,41.38161,-81.53018,Bedford,OH,Ohio,TRUE,,29223,573.7,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44147,41.31914,-81.67871,Broadview Heights,OH,Ohio,TRUE,,19361,571.1,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44149,41.31341,-81.85617,Strongsville,OH,Ohio,TRUE,,18976,663.2,39035,Cuyahoga,{'39035':100},Cuyahoga,39035,FALSE,FALSE,America/New_York
44201,41.0268,-81.17929,Atwater,OH,Ohio,TRUE,,6944,48.8,39133,Portage,"{'39133':98.94,'39151':1.06}",Portage|Stark,39133|39151,FALSE,FALSE,America/New_York
44202,41.31499,-81.3399,Aurora,OH,Ohio,TRUE,,20408,249,39133,Portage,"{'39055':0.84,'39133':83.41,'39153':15.75}",Portage|Summit|Geauga,39133|39153|39055,FALSE,FALSE,America/New_York
44203,41.02055,-81.62892,Barberton,OH,Ohio,TRUE,,40442,455.2,39153,Summit,"{'39103':0.31,'39153':99.69}",Summit|Medina,39153|39103,FALSE,FALSE,America/New_York
44212,41.24341,-81.82949,Brunswick,OH,Ohio,TRUE,,44380,776.5,39103,Medina,{'39103':100},Medina,39103,FALSE,FALSE,America/New_York
44214,40.95265,-81.99853,Burbank,OH,Ohio,TRUE,,2267,29.3,39169,Wayne,"{'39103':9.87,'39169':90.13}",Wayne|Medina,39169|39103,FALSE,FALSE,America/New_York
44215,41.07028,-81.89778,Chippewa Lake,OH,Ohio,TRUE,,2323,567.3,39103,Medina,{'39103':100},Medina,39103,FALSE,FALSE,America/New_York
